6205,-0.45,0.00
6205,-0.45,0.00
6205,-0.45,0.00
6328,-0.45,0.00
6328,-0.45,0.00
6328,-0.45,0.00
6328,-0.45,0.00
6329,-0.45,0.00
6329,-0.45,0.00
6329,-0.45,0.00
6451,-0.90,-3.67
6452,-0.90,0.00
6452,-0.90,0.00
6452,-0.90,0.00
6452,-0.90,0.00
6453,-0.90,0.00
6453,-0.90,0.00
6575,-0.90,0.00
6576,-0.90,0.00
6576,-0.90,0.00
6576,-0.90,0.00
6576,-0.90,0.00
6577,-0.90,0.00
6577,-0.90,0.00
6699,-0.90,0.00
6700,-0.90,0.00
6700,-0.90,0.00
6700,-0.90,0.00
6700,-0.90,0.00
6701,-0.90,0.00
6701,-0.90,0.00
6823,-1.35,-3.67
6824,-1.35,0.00
